"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\App.css", "CSS", 0, 0, 10, 0, 0, 1, 11
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\App.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 3, 11
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\assets\campus.svg", "XML", 0, 0, 0, 2929, 1, 16, 2946
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\components\footer\footer.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 2, 10
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\components\icons.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 4, 22
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\components\layout\defaultLayout.jsx", "JavaScript JSX", 15, 0, 0, 0, 4, 2, 21
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\components\lists\discussionList.jsx", "JavaScript JSX", 64, 0, 0, 0, 0, 3, 67
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\components\lists\postList.jsx", "JavaScript JSX", 63, 0, 0, 0, 0, 5, 68
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\components\lists\universityList.jsx", "JavaScript JSX", 71, 0, 0, 0, 0, 5, 76
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\components\navbar\navLinks.jsx", "JavaScript JSX", 130, 0, 0, 0, 6, 18, 154
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\components\navbar\navbar.jsx", "JavaScript JSX", 72, 0, 0, 0, 0, 8, 80
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\context\contextProvider.jsx", "JavaScript JSX", 58, 0, 0, 0, 0, 7, 65
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\index.css", "CSS", 0, 0, 7, 0, 0, 2, 9
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\main.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 2, 16
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\pages\home.jsx", "JavaScript JSX", 226, 0, 0, 0, 0, 20, 246
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\pages\login.jsx", "JavaScript JSX", 58, 0, 0, 0, 1, 11, 70
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\pages\post.jsx", "JavaScript JSX", 116, 0, 0, 0, 0, 8, 124
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\pages\posts.jsx", "JavaScript JSX", 110, 0, 0, 0, 0, 11, 121
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\pages\profile.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 3, 25
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\pages\register.jsx", "JavaScript JSX", 233, 0, 0, 0, 1, 34, 268
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\pages\university.jsx", "JavaScript JSX", 65, 0, 0, 0, 0, 3, 68
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\router.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 4, 57
"d:\Documents\KTU\7 semestras\Informaciniu sistemu kurimas karkasais\university-forum\frontend\src\utils\API.js", "JavaScript", 0, 45, 0, 0, 2, 10, 57
"Total", "-", 1404, 45, 17, 2929, 15, 182, 4592
